id,company,ticker,fiscalYear,periodEnd,filingDate,accession,sourceType,sourceUrl,secHtmlUrl,pdfPages,pdfPageStart,pdfPageEnd,pdfSha256,item1aCharacters
NVDA-FY25,NVIDIA Corporation,NVDA,FY2025,2025-01-26,2025-02-26,0001045810-25-000023,SEC filing PDF,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001045810/177440d5-3b32-4185-8cc8-95500a9dc783.pdf,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/nvda-20250126.htm,130,13,32,b67bd67a64488a54886de001c788bc5059a965fc6ef5b4d8b71624951e13df8e,110724
COIN-FY24,"Coinbase Global, Inc.",COIN,FY2024,2024-12-31,2025-02-13,0001679788-25-000022,Issuer-hosted Form 10-K PDF,https://investor.coinbase.com/files/doc_financials/2024/q4/Coinbase-Global-Inc-2024-10K-for-IR.pdf,https://www.sec.gov/Archives/edgar/data/1679788/000167978825000022/coin-20241231.htm,186,21,86,8ac69c453d362d9eb0ab4a0cd34fbcce0eb3b1a80ce95f0b041a56942d1abc32,288952
PYPL-FY24,"PayPal Holdings, Inc.",PYPL,FY2024,2024-12-31,2025-02-04,0001633917-25-000019,SEC filing PDF,https://d18rn0p25nwr6d.cloudfront.net/CIK-0001633917/ce09b590-7f74-448a-9616-a9817693b50e.pdf,https://www.sec.gov/Archives/edgar/data/1633917/000163391725000019/pypl-20241231.htm,374,14,28,27787ae26bddde901e4d1220ded3549994ef5610c331f4ffb1f5ec292097f7eb,87950
BA-FY24,The Boeing Company,BA,FY2024,2024-12-31,2025-02-03,0000012927-25-000015,SEC-filed annual report PDF containing Form 10-K,https://www.sec.gov/Archives/edgar/data/12927/000119312525049918/d844315dars.pdf,https://www.sec.gov/Archives/edgar/data/12927/000001292725000015/ba-20241231.htm,161,14,27,0a7b4383c3a344efff87841962e1b11e527e8b160c1f3fae3270aefa87187897,58169
JPM-FY24,JPMorgan Chase & Co.,JPM,FY2024,2024-12-31,2025-02-14,0000019617-25-000270,Issuer-hosted Form 10-K PDF,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2024/4th-quarter/corp-10k-2024.pdf,https://www.sec.gov/Archives/edgar/data/19617/000001961725000270/jpm-20241231.htm,436,12,39,4df8c8007381845715ad56955a4f16c34bdc9e6df6b39a2e7e1c878c2fe0c566,135706
TSLA-FY24,"Tesla, Inc.",TSLA,FY2024,2024-12-31,2025-01-30,0001628280-25-003063,Issuer-hosted Form 10-K PDF,https://ir.tesla.com/_flysystem/s3/sec/000162828025003063/tsla-20241231-gen.pdf,https://www.sec.gov/Archives/edgar/data/1318605/000162828025003063/tsla-20241231.htm,144,16,30,2957d89daa2066035df5cf56f3586dd3c25a20a8e366fcf4da866e7e48c1a504,79647
PFE-FY24,Pfizer Inc.,PFE,FY2024,2024-12-31,2025-02-13,0000078003-25-000054,SEC filing PDF,https://d18rn0p25nwr6d.cloudfront.net/CIK-0000078003/58225110-35f3-46df-a207-d87bb30eaedd.pdf,https://www.sec.gov/Archives/edgar/data/78003/000007800325000054/pfe-20241231.htm,165,24,33,8ee0b08f2f2c9326a3fab44642507c7907b53e75cc5a12839e8cde2228ed0229,79080
META-FY24,"Meta Platforms, Inc.",META,FY2024,2024-12-31,2025-01-30,0001326801-25-000017,Issuer-hosted annual report PDF containing Form 10-K,https://s21.q4cdn.com/399680738/files/doc_financials/2024/ar/Meta-12-31-2024-10K-ARS.pdf,https://www.sec.gov/Archives/edgar/data/1326801/000132680125000017/meta-20241231.htm,134,16,51,9b81ad9b6ecb9e23b1d810b9cecabcad05e00386d24dd64b4cd44a5bab54a13f,188704
